1900131,13-1-2003 22:12:00,-47.77,60.36,13,"INACTIVE","France"
1900132,16-1-2003 21:00:00,-40.21,76.34,94,"INACTIVE","France"
1900133,16-1-2003 21:00:00,-40.10,76.35,128,"INACTIVE","France"
1900134,18-1-2003 21:06:00,-35.91,81.17,52,"INACTIVE","France"
1900135,18-1-2003 21:00:00,-35.97,81.04,122,"INACTIVE","France"
1900136,19-1-2003 21:00:00,-35.93,86.06,59,"INACTIVE","France"
1900137,19-1-2003 21:06:00,-35.91,86.06,101,"INACTIVE","France"
1900143,10-12-2002 18:05:06,-8.37,73.71,315,"INACTIVE","OTHERS"
1900144,11-12-2002 08:08:03,-6.12,79.04,265,"INACTIVE","OTHERS"
1900145,13-12-2002 03:26:26,-47.09,76.69,1,"INACTIVE","OTHERS"
1900146,13-12-2002 20:46:07,-45.55,75.69,75,"INACTIVE","OTHERS"
1900147,14-12-2002 05:47:54,-44.54,76.48,103,"INACTIVE","OTHERS"
1900148,14-12-2002 22:17:48,-42.58,77.50,85,"INACTIVE","OTHERS"
1900149,13-12-2002 13:22:57,-46.22,75.90,114,"INACTIVE","OTHERS"
1900150,15-12-2002 12:42:24,-38.93,76.30,211,"INACTIVE","OTHERS"
1900151,15-12-2002 07:16:20,-40.24,77.48,201,"INACTIVE","OTHERS"
1900152,15-12-2002 03:45:24,-41.93,77.84,69,"INACTIVE","OTHERS"
1900153,14-12-2002 16:22:17,-43.44,77.62,77,"INACTIVE","OTHERS"
1900154,19-3-2003 09:48:17,-6.61,78.20,199,"INACTIVE","OTHERS"
1900155,19-3-2003 00:19:36,-4.37,75.39,220,"INACTIVE","OTHERS"
1900156,17-3-2003 02:41:53,6.71,59.85,115,"INACTIVE","OTHERS"
1900157,17-3-2003 12:15:56,4.41,63.00,236,"INACTIVE","OTHERS"
1900158,18-3-2003 02:19:53,1.99,65.43,197,"INACTIVE","OTHERS"
1900159,18-3-2003 14:58:17,-1.94,70.25,66,"INACTIVE","OTHERS"
1900160,26-6-2003 18:48:58,6.17,52.44,88,"INACTIVE","OTHERS"
1900161,26-6-2003 19:34:28,2.94,51.21,75,"INACTIVE","OTHERS"
1900162,26-6-2003 17:13:40,9.17,53.89,54,"INACTIVE","OTHERS"
1900163,12-2-2003 02:36:52,-37.54,20.80,20,"INACTIVE","OTHERS"
1900164,5-10-2003 17:47:16,-38.20,20.59,119,"INACTIVE","OTHERS"
1900165,18-11-2003 10:06:27,-37.23,20.17,5,"INACTIVE","OTHERS"
1900169,27-6-2003 15:35:05,1.03,51.90,89,"INACTIVE","OTHERS"
1900170,27-6-2003 17:14:58,-1.38,48.21,59,"INACTIVE","OTHERS"
1900171,28-6-2003 03:19:38,-2.75,48.49,173,"INACTIVE","OTHERS"
1900172,27-6-2003 18:24:26,-6.10,46.29,42,"INACTIVE","OTHERS"
1900173,22-4-2003 01:19:42,-49.33,31.70,98,"INACTIVE","OTHERS"
1900174,21-4-2003 07:16:04,-48.37,25.53,16,"INACTIVE","OTHERS"
1900175,5-5-2003 16:01:12,-45.73,36.60,132,"INACTIVE","OTHERS"
1900177,30-6-2003 12:56:47,-16.76,58.61,36,"INACTIVE","OTHERS"
1900178,14-11-2005 15:39:07,-18.76,38.99,181,"INACTIVE","OTHERS"
1900179,9-11-2005 09:09:14,-23.42,36.34,124,"INACTIVE","OTHERS"
1900180,27-6-2003 14:15:50,-6.91,44.62,146,"INACTIVE","OTHERS"
1900181,27-6-2003 19:48:44,-10.22,44.23,97,"INACTIVE","OTHERS"
1900182,26-6-2003 17:57:54,7.03,53.50,97,"INACTIVE","OTHERS"
1900183,23-9-2003 11:47:36,-0.18,56.43,105,"INACTIVE","OTHERS"
1900184,23-9-2003 22:45:59,0.14,54.28,250,"INACTIVE","OTHERS"
1900185,24-9-2003 09:50:25,-0.97,50.88,93,"INACTIVE","OTHERS"
1900186,24-9-2003 19:29:09,-2.17,48.07,51,"INACTIVE","OTHERS"
1900187,25-9-2003 06:27:39,-2.93,46.22,87,"INACTIVE","OTHERS"
1900188,25-9-2003 16:52:02,-3.59,41.68,37,"INACTIVE","OTHERS"
1900190,25-4-2004 01:51:36,-49.31,32.29,164,"INACTIVE","OTHERS"
1900191,4-5-2004 11:03:23,-50.52,33.77,210,"INACTIVE","OTHERS"
1900192,4-5-2004 06:20:20,-51.26,35.22,171,"INACTIVE","OTHERS"
1900193,4-5-2004 16:06:02,-49.52,33.69,150,"INACTIVE","OTHERS"
1900194,15-5-2004 06:16:28,-39.88,25.53,111,"INACTIVE","OTHERS"
1900195,14-5-2004 23:58:48,-39.88,26.59,173,"INACTIVE","OTHERS"
1900196,13-5-2004 04:20:41,-44.24,34.22,153,"INACTIVE","OTHERS"
1900197,13-5-2004 19:59:34,-42.80,31.38,197,"INACTIVE","OTHERS"
1900198,14-5-2004 09:28:33,-41.75,28.38,30,"INACTIVE","OTHERS"
1900199,2-9-2004 09:54:40,-23.35,70.63,139,"INACTIVE","OTHERS"
1900200,2-9-2004 19:38:04,-22.67,66.53,202,"INACTIVE","OTHERS"
1900201,22-4-2004 11:43:30,-39.63,21.81,117,"INACTIVE","OTHERS"
